,lg,rest,depth,store_loc,store_status,rtv_loc,rtv_status
_21_4,2975,3025,2,3m0,EMPTY,3m0,EMPTY
_22_4,3005,2995,2,2m5,EMPTY,3m5,EMPTY
_23_4,3015,2985,2,2m5,EMPTY,3m5,EMPTY
_24_4,3115,2885,2,2m5,EMPTY,3m5,EMPTY
_25_4,3295,2705,2,2m5,EMPTY,3m5,EMPTY
_26_4,3410,2590,2,2m5,EMPTY,3m5,EMPTY
_27_4,3450,2550,2,2m5,EMPTY,3m5,EMPTY
_28_4,3485,2515,2,2m5,EMPTY,3m5,EMPTY
_29_4,3530,2470,2,2m0,EMPTY,,
_30_4,3560,2440,2,2m0,EMPTY,,
_31_4,3565,2435,2,2m0,EMPTY,,
_32_4,3695,2305,2,2m0,EMPTY,,
_33_4,4080,1920,2,1m5,EMPTY,,
_34_4,4330,1670,2,1m5,EMPTY,,
_35_4,4340,1660,2,1m5,EMPTY,,
_36_4,4380,1620,2,1m5,EMPTY,,
_37_4,4415,1585,2,1m5,EMPTY,,
_38_4,4560,1440,2,1m0,EMPTY,,
_39_4,4585,1415,2,1m0,EMPTY,,
_4_40,4880,1120,2,1m0,EMPTY,,
_4_41,4935,1065,2,1m0,EMPTY,,
_4_42,4985,1015,2,1m0,EMPTY,,
_4_43,5025,975,2,,,,
_4_44,5135,865,2,,,,
_4_45,5165,835,2,,,,
_4_46,5165,835,2,,,,
_4_47,5210,790,2,,,,
_4_48,5210,790,2,,,,
_4_49,5260,740,2,,,,
_4_50,5325,675,2,,,,
_4_51,5335,665,2,,,,
_4_52,5440,560,2,,,,
_4_53,5495,505,2,,,,
_4_54,5530,470,2,,,,
_4_55,5530,470,2,,,,
_4_56,5535,465,2,,,,
_4_57,5555,445,2,,,,
_4_58,5555,445,2,,,,
_4_59,5570,430,2,,,,
_4_60,5570,430,2,,,,
_4_61,5570,430,2,,,,
_4_62,5615,385,2,,,,
_4_63,5705,295,2,,,,
_4_64,5715,285,2,,,,
_4_65,5800,200,2,,,,
_4_66,5860,140,2,,,,
_4_67,5860,140,2,,,,
_4_68,5860,140,2,,,,
_4_69,5860,140,2,,,,
_4_70,5860,140,2,,,,
_4_71,5860,140,2,,,,
_4_72,5860,140,2,,,,
_4_73,5860,140,2,,,,
_4_74,5860,140,2,,,,
_5_6,1960,4040,2,,,2m0,EMPTY
_5_7,1980,4020,2,,,2m0,EMPTY
_5_8,2060,3940,2,3m5,EMPTY,2m5,EMPTY
_5_9,2285,3715,2,3m5,EMPTY,2m5,EMPTY
_10_5,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_11_5,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_12_5,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_13_5,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_14_5,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_15_5,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_16_5,2440,3560,2,3m5,EMPTY,2m5,EMPTY
_17_5,2595,3405,2,3m0,EMPTY,3m0,EMPTY
_18_5,2605,3395,2,3m0,EMPTY,3m0,EMPTY
_19_5,2720,3280,2,3m0,EMPTY,3m0,EMPTY
_20_5,2805,3195,2,3m0,EMPTY,3m0,EMPTY
_21_5,2975,3025,2,3m0,EMPTY,3m0,EMPTY
_22_5,3005,2995,2,2m5,EMPTY,3m5,EMPTY
_23_5,3015,2985,2,2m5,EMPTY,3m5,EMPTY
_24_5,3115,2885,2,2m5,EMPTY,3m5,EMPTY
_25_5,3295,2705,2,2m5,EMPTY,3m5,EMPTY
_26_5,3410,2590,2,2m5,EMPTY,3m5,EMPTY
_27_5,3450,2550,2,2m5,EMPTY,3m5,EMPTY
_28_5,3485,2515,2,2m5,EMPTY,3m5,EMPTY
_29_5,3530,2470,2,2m0,EMPTY,,
_30_5,3560,2440,2,2m0,EMPTY,,
_31_5,3565,2435,2,2m0,EMPTY,,
_32_5,3695,2305,2,2m0,EMPTY,,
_33_5,4080,1920,2,1m5,EMPTY,,
_34_5,4330,1670,2,1m5,EMPTY,,
_35_5,4340,1660,2,1m5,EMPTY,,
_36_5,4380,1620,2,1m5,EMPTY,,
_37_5,4415,1585,2,1m5,EMPTY,,
_38_5,4560,1440,2,1m0,EMPTY,,
_39_5,4585,1415,2,1m0,EMPTY,,
_40_5,4880,1120,2,1m0,EMPTY,,
_41_5,4935,1065,2,1m0,EMPTY,,
_42_5,4985,1015,2,1m0,EMPTY,,
_43_5,5025,975,2,,,,
_44_5,5135,865,2,,,,
_45_5,5165,835,2,,,,
_46_5,5165,835,2,,,,
_47_5,5210,790,2,,,,
_48_5,5210,790,2,,,,
_49_5,5260,740,2,,,,
_5_50,5325,675,2,,,,
_5_51,5335,665,2,,,,
_5_52,5440,560,2,,,,
_5_53,5495,505,2,,,,
_5_54,5530,470,2,,,,
_5_55,5530,470,2,,,,
_5_56,5535,465,2,,,,
_5_57,5555,445,2,,,,
_5_58,5555,445,2,,,,
_5_59,5570,430,2,,,,
_5_60,5570,430,2,,,,
_5_61,5570,430,2,,,,
_5_62,5615,385,2,,,,
_5_63,5705,295,2,,,,
_5_64,5715,285,2,,,,
_5_65,5800,200,2,,,,
_5_66,5860,140,2,,,,
_5_67,5860,140,2,,,,
_5_68,5860,140,2,,,,
_5_69,5860,140,2,,,,
_5_70,5860,140,2,,,,
_5_71,5860,140,2,,,,
_5_72,5860,140,2,,,,
_5_73,5860,140,2,,,,
_5_74,5860,140,2,,,,
_6_7,1980,4020,2,,,2m0,EMPTY
_6_8,2060,3940,2,3m5,EMPTY,2m5,EMPTY
_6_9,2285,3715,2,3m5,EMPTY,2m5,EMPTY
_10_6,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_11_6,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_12_6,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_13_6,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_14_6,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_15_6,2435,3565,2,3m5,EMPTY,2m5,EMPTY
_16_6,2440,3560,2,3m5,EMPTY,2m5,EMPTY
_17_6,2595,3405,2,3m0,EMPTY,3m0,EMPTY
_18_6,2605,3395,2,3m0,EMPTY,3m0,EMPTY
_19_6,2720,3280,2,3m0,EMPTY,3m0,EMPTY
_20_6,2805,3195,2,3m0,EMPTY,3m0,EMPTY
_21_6,2975,3025,2,3m0,EMPTY,3m0,EMPTY
_22_6,3005,2995,2,2m5,EMPTY,3m5,EMPTY
_23_6,3015,2985,2,2m5,EMPTY,3m5,EMPTY
_24_6,3115,2885,2,2m5,EMPTY,3m5,EMPTY
_25_6,3295,2705,2,2m5,EMPTY,3m5,EMPTY
_26_6,3410,2590,2,2m5,EMPTY,3m5,EMPTY
_27_6,3450,2550,2,2m5,EMPTY,3m5,EMPTY
_28_6,3485,2515,2,2m5,EMPTY,3m5,EMPTY
