mini,maxi,qtt,status,name,day,seq_name
3750,4000,0,EMPTY,3m75,13,SS
1000,1500,9,OPEN,1m0,14,8m
1500,2000,1,CRIT_EMPTY,1m5,14,8m
2000,2500,2,CRIT_EMPTY,2m0,14,8m
2500,3000,14,OPEN,2m5,14,8m
3000,3500,2,CRIT_EMPTY,3m0,14,8m
3500,4000,3,CRIT_EMPTY,3m5,14,8m
1000,1500,25,FULL,1m0,14,7m
1500,2000,25,FULL,1m5,14,7m
2000,2500,10,OPEN,2m0,14,7m
2500,3000,5,CRIT_EMPTY,2m5,14,7m
3000,3500,3,CRIT_EMPTY,3m0,14,7m
3500,4000,4,CRIT_EMPTY,3m5,14,7m
1000,1500,25,FULL,1m0,14,6m
1500,2000,6,OPEN,1m5,14,6m
2000,2500,11,OPEN,2m0,14,6m
2500,3000,3,CRIT_EMPTY,2m5,14,6m
3000,3500,10,OPEN,3m0,14,6m
3500,4000,1,CRIT_EMPTY,3m5,14,6m
1000,1250,10,FULL,1m0,14,SS
1250,1500,9,CRIT_FULL,1m25,14,SS
1500,1750,1,CRIT_EMPTY,1m5,14,SS
1750,2000,6,OPEN,1m75,14,SS
2000,2250,4,OPEN,2m0,14,SS
2250,2500,4,OPEN,2m25,14,SS
2500,2750,0,EMPTY,2m5,14,SS
2750,3000,0,EMPTY,2m75,14,SS
3000,3250,1,CRIT_EMPTY,3m0,14,SS
3250,3500,6,OPEN,3m25,14,SS
3500,3750,0,EMPTY,3m5,14,SS
3750,4000,0,EMPTY,3m75,14,SS
1000,1500,9,OPEN,1m0,15,8m
1500,2000,0,EMPTY,1m5,15,8m
2000,2500,3,CRIT_EMPTY,2m0,15,8m
2500,3000,21,CRIT_FULL,2m5,15,8m
3000,3500,3,CRIT_EMPTY,3m0,15,8m
3500,4000,6,OPEN,3m5,15,8m
1000,1500,25,FULL,1m0,15,7m
1500,2000,25,FULL,1m5,15,7m
2000,2500,11,OPEN,2m0,15,7m
2500,3000,13,OPEN,2m5,15,7m
3000,3500,15,OPEN,3m0,15,7m
3500,4000,0,EMPTY,3m5,15,7m
1000,1500,25,FULL,1m0,15,6m
1500,2000,13,OPEN,1m5,15,6m
2000,2500,22,CRIT_FULL,2m0,15,6m
2500,3000,6,OPEN,2m5,15,6m
3000,3500,9,OPEN,3m0,15,6m
3500,4000,0,EMPTY,3m5,15,6m
1000,1250,10,FULL,1m0,15,SS
1250,1500,10,FULL,1m25,15,SS
1500,1750,9,CRIT_FULL,1m5,15,SS
1750,2000,9,CRIT_FULL,1m75,15,SS
2000,2250,10,FULL,2m0,15,SS
2250,2500,6,OPEN,2m25,15,SS
2500,2750,2,OPEN,2m5,15,SS
2750,3000,1,CRIT_EMPTY,2m75,15,SS
3000,3250,0,EMPTY,3m0,15,SS
3250,3500,4,OPEN,3m25,15,SS
3500,3750,1,CRIT_EMPTY,3m5,15,SS
3750,4000,0,EMPTY,3m75,15,SS
1000,1500,8,OPEN,1m0,16,8m
1500,2000,1,CRIT_EMPTY,1m5,16,8m
2000,2500,2,CRIT_EMPTY,2m0,16,8m
2500,3000,21,CRIT_FULL,2m5,16,8m
3000,3500,5,CRIT_EMPTY,3m0,16,8m
3500,4000,5,CRIT_EMPTY,3m5,16,8m
1000,1500,25,FULL,1m0,16,7m
1500,2000,25,FULL,1m5,16,7m
2000,2500,10,OPEN,2m0,16,7m
2500,3000,14,OPEN,2m5,16,7m
3000,3500,15,OPEN,3m0,16,7m
3500,4000,1,CRIT_EMPTY,3m5,16,7m
1000,1500,25,FULL,1m0,16,6m
1500,2000,15,OPEN,1m5,16,6m
2000,2500,19,OPEN,2m0,16,6m
2500,3000,4,CRIT_EMPTY,2m5,16,6m
3000,3500,7,OPEN,3m0,16,6m
3500,4000,0,EMPTY,3m5,16,6m
1000,1250,10,FULL,1m0,16,SS
1250,1500,8,OPEN,1m25,16,SS
1500,1750,10,FULL,1m5,16,SS
1750,2000,8,OPEN,1m75,16,SS
2000,2250,9,CRIT_FULL,2m0,16,SS
2250,2500,5,OPEN,2m25,16,SS
2500,2750,1,CRIT_EMPTY,2m5,16,SS
2750,3000,0,EMPTY,2m75,16,SS
3000,3250,0,EMPTY,3m0,16,SS
3250,3500,3,OPEN,3m25,16,SS
3500,3750,1,CRIT_EMPTY,3m5,16,SS
3750,4000,0,EMPTY,3m75,16,SS
1000,1500,8,OPEN,1m0,17,8m
1500,2000,0,EMPTY,1m5,17,8m
2000,2500,2,CRIT_EMPTY,2m0,17,8m
2500,3000,19,OPEN,2m5,17,8m
3000,3500,4,CRIT_EMPTY,3m0,17,8m
3500,4000,5,CRIT_EMPTY,3m5,17,8m
1000,1500,25,FULL,1m0,17,7m
1500,2000,25,FULL,1m5,17,7m
2000,2500,11,OPEN,2m0,17,7m
2500,3000,16,OPEN,2m5,17,7m
3000,3500,9,OPEN,3m0,17,7m
3500,4000,3,CRIT_EMPTY,3m5,17,7m
1000,1500,25,FULL,1m0,17,6m
1500,2000,18,OPEN,1m5,17,6m
2000,2500,21,CRIT_FULL,2m0,17,6m
2500,3000,6,OPEN,2m5,17,6m
3000,3500,0,EMPTY,3m0,17,6m
3500,4000,0,EMPTY,3m5,17,6m
1000,1250,10,FULL,1m0,17,SS
1250,1500,10,FULL,1m25,17,SS
1500,1750,10,FULL,1m5,17,SS
1750,2000,10,FULL,1m75,17,SS
2000,2250,10,FULL,2m0,17,SS
2250,2500,5,OPEN,2m25,17,SS
2500,2750,0,EMPTY,2m5,17,SS
2750,3000,1,CRIT_EMPTY,2m75,17,SS
3000,3250,0,EMPTY,3m0,17,SS
3250,3500,6,OPEN,3m25,17,SS
3500,3750,0,EMPTY,3m5,17,SS
3750,4000,0,EMPTY,3m75,17,SS
1000,1500,8,OPEN,1m0,18,8m
